name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
KOPLOPER,Stallion ,2010,BAY,147,NRPS,528008100157510A,,528219000245484A,SILVESTRIS HOF,SILVESTRIS HOF,KANSHEBBER,SHANNON VAN DE BOSSENHOEVE,
KRACK'S PALLADIN,Stallion ,2021,CREMELLO ,147,NRPS,528008202100028A,,528210006490118A,MW. A. SNIPPE-RIEMSMA,TRAINING-EN AFRICHTINGSSTAL ERIK VEENSTRA & MW. A. SNIPPE-RIEMSMA ,VEENSTRA'S KRACK,LÛNA WEERING,
KWAJONGEN,Stallion,2022,CHESTNUT,142,NRPS,528008202200372A,,528210006557342A,DHR. ADRIE VAN ESCH,MEVR. IRIS VAN ROOIJ,KASANOVA VAN KLAVERBORCH,TEUN,
KWALITEIT VAN ORCHID'S,Stallion,2008,CHESTNUT,148,NNFPS,528018520081634A,104YO80,528210002016896A,MW. CARLA VAN DE LAAR,DNJ HORSES,KANSHEBBER,Orchid's Black Star,
LE GOLDEN GAMBLER R.W.,Stallion,2020,PALOMINO ,146,NRPS,528008202000425A,,528210006315851A,DHR. R. & M. WEKEMA,DHR. R. & M. WEKEMA,LE MATSJO,WEERING'S ROMY,
LED ZEPPELIN TURFHORST,Stallion,2022,BAY,148,NWPCS,752043043221016A,,752098102037317A,ELISABET ZETTERHOLM FALK,STOETERIJ TURFHORST,LEUNS VELD'S LORD,K2 METALLICA,
LIBENTI'S MILAGRO,Stallion,2021,PALOMINO ,147,NRPS,528017202100607A,,752098102020194A,LIBENTI HANDELSBOLAG,LIBENTI HANDELSBOLAG,STRANDGAARDS MANGOLD,ODETTE VAN DE BEEKERHEIDE,
MACHO ZH,Stallion,2020,BAY PAINT,143,NRPS,528013020200186A,,528210004911031A,MW. RIANNE LANGEVELD,DHR. R.M.E. HAEGENS,TRINITYHOUSE PERFECT STORM ,MARILYN ZH,
MASERATI ER,Stallion,2022, PALOMINO ,148,NWPCS,528017202200171A,,528210006583311A,H.J.C. EBBERS,F.Z. KRIEGER-KERSSIES,WESTERHUIS MERCURY,AMEDIJK'S ARTEMIS,
MCDREAMY,Stallion,2022,DUN/FALCO,,NRPS,528008202200120A,,528210006585501A,MEVR. JIKKE TER HAAR,MEVR. JIKKE TER HAAR & MW. MICHELLE VACQUIER ,NIEUWMOED'S MR DARCY,ROYAL CAYANA,
MR. BODO,Stallion ,2022,PALOMINO ,144,NRPS,528017202200850A,,528210006699747A,MEVR. THERA VAN DER WERFF,M. JANSEN & E.J. EIJERKAMP,FS MR. RIGHT,FATIMA,
NEPTUNE VAN DE BEEKERHEIDE,Stallion ,1999,CHESTNUT,148,NRPS,NPA 990678.99,NED41835,528210001184256A,STAL BEEKERHEIDE,STAL BEEKERHEIDE,NOËL VAN DE STEEGEIND,ERIKA,
NILO,Stallion ,2020,BAY,148,,276434340082120A,,276020000763218A,INGA BULLE,REESINK HORSES,FS NUMERO UNO,GRANDEZZA,
OSCAR VAN DE BEEKERHEIDE,Stallion,2010,DARK BAY,148,NRPS,528008100193210A,106GJ52,528210002560749A,STAL BEEKERHEIDE,ESM EQUESTRIAN LTD,ORCHID'S FLORIS,IMARA VAN DE BEEKERHEIDE,
PLOEG THIM,Stallion,2016,BAY,152,NWPCS,528017201600128A,,528210004519064A,P. PLOEGMAKERS,R.R.M. HAYEN,PIPPIN'S PRIDE AT,NOBIS JUULKE,
STAR VAN VREEBURCH,Stallion ,2000,BAY,154,NRPS,NPA 200061.00,,528210000656027A,F. SOONIUS,DE LINGE,SJAPOER OX,DUSTY VAN VREEBURCH,
TOPSVOORTER MONOPOLY,Stallion,2010,DARK BAY,145,NWPCS,528017201000857A,106XH80,528210002336582A,W. HORSTMAN,MW. ANGELIQUE BRONSEMA & MIRJAM SCHAAFSMA ,WENGELO'S RICARDO,ORCHARD JONICA,
VEENSTRA'S JAMES BOND,Stallion,2021,DUN/FALCO,147,NWPCS,528017202100183A,,528210006443962A,W. VENEMA,TRAINING-EN AFRICHTINGSSTAL ERIK VEENSTRA ,JONKERS' JAYDEN,ILONA,
VIVA LA BAM,Stallion,2004,BAY,148,NRPS,528008040056204A,104ML59,528008040056204A,A. VAN MIERLO,MARCEL MARIJNISSEN & CHARISSA,VITANO,EL DJANGO,
,,,,,,,,,,DEN RIDDER,,,
WINTON,Stallion,2019,PALOMINO ,148,NRPS,528008201900603A,,528210006073864A,DHR. J.W.A. BRONKHORST,PAARDENHOUDERIJ BOEVE,LEUNS VELD'S WINSTON JR,HEETERVEEN'S DANI,
ZAPP VR,Stallion,2007,BAY,151,NRPS,528008070201707A,104QW63,528210002061636A,MW. LOES VERMEULEN,MW. CARLA VAN DE LAAR,ZODIAK,SABINA,
ZIRO-LA-DI,Stallion,2017,CHESTNUT,147,NRPS,528008201700188A,,528210004519285A,MW. J. DIRKSEN,D&R SPORTPONY'S,ZIP,MISTIQUE LA-DI,
